Year,Return_Total_USD
1970,0.032
1971,0.125
1972,0.481
1973,-0.154
1974,-0.233
1975,0.374
1976,0.057
1977,-0.07
1978,0.23
1979,0.168
1980,0.242
1981,-0.056
1982,0.052
1983,0.246
1984,0.057
1985,0.482
1986,0.691
1987,0.244
1988,0.287
1989,0.101
1990,-0.233
1991,0.128
1992,-0.113
1993,0.322
1994,0.086
1995,0.115
1996,0.061
1997,0.027
1998,0.202
1999,0.276
2000,-0.143
2001,-0.219
2002,-0.158
2003,0.396
2004,0.2
2005,0.148
2006,0.263
2007,0.116
2008,-0.43
2009,0.317
2010,0.079
2011,-0.12
2012,0.175
2013,0.225
2014,-0.044
2015,-0.003
2016,0.013
2017,0.253
2018,-0.1336
2019,0.2266
2020,0.0828
2021,0.1178
2022,-0.1401
2023,0.1885
2024,0.0435
